LAMMPS Description

     5184  atoms
     0  bonds
     0  angles
     0  dihedrals
     0  impropers

     2  atom types

  0.0 42.72 xlo xhi
  0.0 42.72 ylo yhi
  0.0 42.72 zlo zhi

Masses

    1 28.0855
    2  15.9994

Atoms # atomic

403 2 2.67 18.69 34.71
404 2 0.89 20.47 34.71
405 2 0.89 16.91 31.15
406 2 4.45 20.47 31.15
407 2 6.23 20.47 29.37
408 2 6.23 15.13 34.71
409 1 0.0 14.24 35.6
410 1 0.0 17.8 39.16
411 1 1.78 16.02 37.38
412 1 3.56 14.24 39.16
413 1 1.78 19.58 40.94
414 1 5.34 19.58 37.38
415 1 3.56 17.8 35.6
416 1 5.34 16.02 40.94
417 2 0.89 15.13 36.49
418 2 6.23 18.69 38.27
419 2 2.67 16.91 36.49
420 2 4.45 15.13 40.05
421 2 0.89 18.69 40.05
422 2 4.45 18.69 36.49
423 2 2.67 20.47 40.05
424 2 2.67 15.13 38.27
425 2 4.45 16.91 41.83
426 2 6.23 16.91 40.05
427 2 2.67 18.69 41.83
428 2 0.89 20.47 41.83
429 2 0.89 16.91 38.27
430 2 4.45 20.47 38.27
431 2 6.23 20.47 36.49
432 2 6.23 15.13 41.83
433 1 0.0 21.36 0.0
434 1 0.0 24.92 3.56
435 1 1.78 23.14 1.78
436 1 3.56 21.36 3.56
437 1 1.78 26.7 5.34
438 1 5.34 26.7 1.78
439 1 3.56 24.92 0.0
440 1 5.34 23.14 5.34
441 2 0.89 22.25 0.89
442 2 6.23 25.81 2.67
443 2 2.67 24.03 0.89
444 2 4.45 22.25 4.45
445 2 0.89 25.81 4.45
446 2 4.45 25.81 0.89
447 2 2.67 27.59 4.45
448 2 2.67 22.25 2.67
449 2 4.45 24.03 6.23
450 2 6.23 24.03 4.45
451 2 2.67 25.81 6.23
452 2 0.89 27.59 6.23
453 2 0.89 24.03 2.67
454 2 4.45 27.59 2.67
455 2 6.23 27.59 0.89
456 2 6.23 22.25 6.23
457 1 0.0 21.36 7.12
458 1 0.0 24.92 10.68
459 1 1.78 23.14 8.9
460 1 3.56 21.36 10.68
461 1 1.78 26.7 12.46
462 1 5.34 26.7 8.9
463 1 3.56 24.92 7.12
464 1 5.34 23.14 12.46
465 2 0.89 22.25 8.01
466 2 6.23 25.81 9.79
467 2 2.67 24.03 8.01
468 2 4.45 22.25 11.57
469 2 0.89 25.81 11.57
470 2 4.45 25.81 8.01
471 2 2.67 27.59 11.57
472 2 2.67 22.25 9.79
473 2 4.45 24.03 13.35
474 2 6.23 24.03 11.57
475 2 2.67 25.81 13.35
476 2 0.89 27.59 13.35
477 2 0.89 24.03 9.79
478 2 4.45 27.59 9.79
479 2 6.23 27.59 8.01
480 2 6.23 22.25 13.35
481 1 0.0 21.36 14.24
482 1 0.0 24.92 17.8
483 1 1.78 23.14 16.02
484 1 3.56 21.36 17.8
485 1 1.78 26.7 19.58
486 1 5.34 26.7 16.02
487 1 3.56 24.92 14.24
488 1 5.34 23.14 19.58
489 2 0.89 22.25 15.13
490 2 6.23 25.81 16.91
491 2 2.67 24.03 15.13
492 2 4.45 22.25 18.69
493 2 0.89 25.81 18.69
494 2 4.45 25.81 15.13
495 2 2.67 27.59 18.69
496 2 2.67 22.25 16.91
497 2 4.45 24.03 20.47
498 2 6.23 24.03 18.69
499 2 2.67 25.81 20.47
500 2 0.89 27.59 20.47
501 2 0.89 24.03 16.91
502 2 4.45 27.59 16.91
503 2 6.23 27.59 15.13
504 2 6.23 22.25 20.47
